Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
252.3076800000001,-0.002208336189259237,-0.2254354976434801,-25.23890307482395
260.4309996872349,-0.002589564714665952,-0.2335306854049379,-26.04602182790801
268.8158584712621,-0.002893313130888008,-0.2423183909758704,-26.87836058486772
277.4706768872554,-0.002836379030241055,-0.251484816085593,-27.73138842607017
286.40414657866,-0.002897310970823328,-0.2613037289095619,-28.61105040961411
295.6252390258186,-0.002421680512069975,-0.2717108008718323,-29.52349180890201
305.1432145556237,-0.002258688630567864,-0.2823973089701792,-30.45830232559697
314.9676316412464,-0.00266175620187393,-0.2935179433949933,-31.42287908795371
325.1083565012785,-0.002528193090509449,-0.3057843033408139,-32.4196784929494
335.5755730079317,-0.002454958988805317,-0.3187587989954099,-33.44379152217118
346.3797929142397,-0.002235119903110611,-0.3320559888611055,-34.50168705638089
357.5318664105383,-0.002571536423511303,-0.3460123655373265,-35.59315278404519
369.0429930208203,-0.00267247897072533,-0.3608523522851453,-36.71572768161073
380.9247328499135,-0.003094397708323803,-0.3764434114236682,-37.87597176486112
393.1890181927707,-0.003074340470677161,-0.3932544121656794,-39.07020395962958
405.8481655175365,-0.003226313948348084,-0.4109169358705758,-40.29994531637902
418.9148878344186,-0.002501449329830584,-0.4292124340634348,-41.5699236784214
432.4023074627908,-0.002776568994417346,-0.4488302527450737,-42.8752021949246
446.3239692093464,-0.003025037377732565,-0.4695742996144484,-44.21935240489352
460.6938539705358,-0.003196328448026263,-0.4905514345181258,-45.60518250597612
475.5263927729494,-0.003242510469037133,-0.5134039633322309,-47.03436938945345
490.8364812657462,-0.002908207055804977,-0.5374208699094722,-48.50514150926269
506.639494679682,-0.002803512825698774,-0.562591050904538,-50.02061171280153
522.9513032677605,-0.003227346150090086,-0.5888506067984942,-51.58037024051293
539.7882882430102,-0.002725391329627079,-0.6163516776572684,-53.18601907427632
557.167358229398,-0.002893889892151256,-0.6461222425465574,-54.84013105951449
575.1059662423983,-0.003005037289908219,-0.6763191482467299,-56.54223015246092
593.6221272162659,-0.00276200798155985,-0.7088681558566414,-58.29610761901395
612.7344360956232,-0.002971138215097826,-0.7425698294224123,-60.09747720552387
632.4620865095238,-0.002945280267245347,-0.7781743457318078,-61.95610603709567
652.8248900467462,-0.003489855838670122,-0.8148917110298904,-63.86540935076076
673.8432961516799,-0.003021285091438587,-0.8536837956426403,-65.82818538350564
695.5384126607773,-0.003115390312660172,-0.894046308234393,-67.85228673901359
717.9320270002033,-0.00300825584487869,-0.9358577316773091,-69.93098461176638
741.0466280659623,-0.002917379898156357,-0.9800963192182965,-72.06754977095034
764.9054288084807,-0.003365432810471394,-1.025449615954953,-74.27037904184283
789.5323895443279,-0.003175279363429781,-1.07228791968917,-76.53128838577135
814.9522420184775,-0.002930580832011225,-1.121312924806813,-78.8569242283854
841.1905142412842,-0.003072635755577046,-1.172115113367114,-81.24694276893311
868.2735561251119,-0.002716049706246799,-1.224112065211917,-83.71043292176502
896.2285659463605,-0.003449873386508455,-1.27793025828195,-86.24077588528667
925.083617659468,-0.003214139602700121,-1.333185960426208,-88.84149283813457
954.8676890903163,-0.003109892806736018,-1.390374681987219,-91.51772976213681
985.6106910373505,-0.002914400801896407,-1.447841915580975,-94.26474470051879
1017.343497309648,-0.002579798003969989,-1.506388422337269,-97.09648546417139
1050.097975732087,-0.003554842020803751,-1.565859155887179,-100.0087996317185
1083.907020148769,-0.002155134448202094,-1.626279980916369,-103.0051370926896
1118.804583456816,-0.002774015521647315,-1.685596595849357,-106.0907890460939
1154.825711703737,-0.003679443245976416,-1.746333814326455,-109.2698231417453
1192.006579282591,-0.002858800045647907,-1.805863428081779,-112.5407883343168
1230.384525260295,-0.003505936933810645,-1.863350278971525,-115.9245520527475
1269.998090875562,-0.003374590581268706,-1.920228374064117,-119.4080426266647
1310.887058244134,-0.003201877381657246,-1.974276371852989,-123.0111585166364
1353.092490310157,-0.002974315432995173,-2.025526979936434,-126.7413732579801
1396.656772083847,-0.003663905228139023,-2.0718460613521,-130.6050913687917
1441.623653206842,-0.003034504133141583,-2.114997337166653,-134.6218445690098
1488.038291887989,-0.003321150662080497,-2.151088777280588,-138.8023593002393
1535.947300253698,-0.003847206307778552,-2.180719793932945,-143.1646917859701
1585.398791158398,-0.00314635831892029,-2.202905993827976,-147.7352886608975
1636.442426502099,-0.002210329888420807,-2.216877641613378,-152.5332537811952
1689.129467103601,-0.002237642639021179,-2.22094581573093,-157.6025504304208
1743.512824179419,-0.002321746732371696,-2.214324673031178,-162.9790932857272
1799.647112480128,-0.002553951942198387,-2.200028467478126,-168.7228316956968
1857.588705137494,-0.001942549492956117,-2.178018859823259,-174.8849534851644
1917.395790277464,-0.001603330234671291,-2.15314556177341,178.4620214567802
1979.128429455875,-0.002655339311669249,-2.131854384718079,171.2160261438116
2042.848617975562,-0.0022788080639819,-2.126404059271556,163.2939234014791
2108.620347145445,-0.002281157288824269,-2.156336698657006,154.6024145414201
2176.509668544105,-0.001973025190057782,-2.24841845336767,145.0800137691655
2246.584760352412,-0.002286332968676078,-2.439358928455477,134.7074309414065
2318.91599582179,-0.002404720764596562,-2.769128964909646,123.572619766609
2393.576013946893,-0.001839277977581028,-3.277388180068324,111.8825301175216
2470.639792413675,-0.0005395713517871903,-3.989615669919723,99.96369781826041
2550.184722896091,-0.0009323962465210865,-4.905326710104967,88.1741666293378
2632.290688777063,-0.0002474576445363528,-6.008498409219176,76.86041571347485
2717.040145371755,-0.0008187450177882236,-7.264488569310287,66.23380135167832
2804.518202733726,0.0007036073280503649,-8.62795713765977,56.40691452731981
2894.81271112711,-0.001221758591923672,-10.06823073840483,47.39697505088461
2988.014349250675,0.0001884936686776869,-11.55136261047845,39.13891779175378
3084.216715302346,0.0008378350903258101,-13.06336392107459,31.55345648678365
3183.51642097565,0.0006154966466081855,-14.58631407128672,24.55273662643603
3286.013188482476,0.001993317897216025,-16.10969584194082,18.06051507481658
3391.809950699594,0.001900381650853575,-17.63443742681679,11.98061846510757
3501.012954539496,0.001712662412256273,-19.14738622185916,6.268766064444151
3613.731867649373,0.002284135685369076,-20.65181057620462,0.8649210834899748
3730.079888545384,0.002469125960001539,-22.15295084624081,-4.256131149073866
3850.173860292812,0.003265788450538742,-23.62992207769842,-9.163304251113139
3974.134387846287,0.003286476333555269,-25.12219712118456,-13.87511971455041
4102.085959167891,0.003187759147538183,-26.5995373205661,-18.39556235141249
4234.157070244803,0.003660096731976236,-28.08580401174033,-22.78110085011118
4370.480354132015,0.005684709731224078,-29.54660924012111,-27.0454682671517
4511.192714149726,0.005253176043599965,-30.99146757539616,-31.16634952964105
4656.435461369163,0.004945276666216465,-32.4502306579146,-35.20889355061126
4806.354456524912,0.0067631579416453,-33.91176188640601,-39.1374044569634
4961.100256496268,0.006639580565183599,-35.33770243143481,-42.87485576211279
5120.828265504721,0.003746381344817056,-36.77363992547306,-46.7358162088894
5285.698891179384,0.0072471755171783,-38.19341856184214,-50.24931152257335
5455.87770564715,0.00821351308575656,-39.66958915733426,-53.62891804178564
5631.535611809297,0.00895621994108594,-41.09208515209833,-57.27118680098652
5812.849014971555,0.009522505281331266,-42.52085401733942,-60.80756118899243
6000.000000000001,0.01012979456805743,-43.96369439086371,-63.81737195716111
