Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.002857307861611734,-0.2158113267145055,-69.33037313162968
1003.589947419014,0.003321337862257291,-0.217914421858706,-69.60678416272748
1007.1927825605,0.003072704684353172,-0.2193935848856952,-69.87736914215476
1010.808551690703,0.003223846470583815,-0.2207098888334494,-70.14623627002015
1014.437301241962,0.002884443319292439,-0.2218821494068687,-70.41421499806765
1018.079077813307,0.004002514259257157,-0.2237183801063778,-70.68572196853258
1021.733928171056,0.002893813134102811,-0.224945316960737,-70.9571826581614
1025.401899249413,0.003029927645137788,-0.2263311803907328,-71.22981991973427
1029.083038151075,0.003834326434047591,-0.2277669622714068,-71.50026499428981
1032.777392147837,0.002949913156649759,-0.2288786698483178,-71.77596709955486
1036.485008681194,0.003566366771479468,-0.230330579703551,-72.04649995521859
1040.205935362956,0.003140672424962281,-0.2312793072492349,-72.3216456374218
1043.940219975856,0.003238972737764956,-0.23254156951858,-72.59683042900917
1047.687910474163,0.003158535564135552,-0.2336627738978209,-72.87450335006299
1051.449054984302,0.003361479840364971,-0.2351169997678747,-73.15097636283264
1055.223701805468,0.003503329999560182,-0.2361902367322484,-73.43071663966718
1059.011899410247,0.003339752636196873,-0.2374225236924354,-73.71131087375262
1062.813696445241,0.003451851218403254,-0.238796507632444,-73.99468476389747
1066.629141731687,0.003344301938215358,-0.2399977138620615,-74.27541351684749
1070.458284266092,0.003380751344584234,-0.2412407639460915,-74.5605756437067
1074.301173220855,0.003149701343909724,-0.2427333614510632,-74.8499156214944
1078.157857944904,0.003283015526382901,-0.2439227628834119,-75.13727541512702
1082.028387964323,0.003115154083540263,-0.2452998216194354,-75.42356149376506
1085.912812982995,0.00266793169957182,-0.2464985007193403,-75.71096916982719
1089.811182883238,0.003341813643459941,-0.2477757087606951,-76.00358847808789
1093.723547726443,0.00277221943576081,-0.2492592685782263,-76.29267788700824
1097.649957753718,0.00259891843616736,-0.2506334981485059,-76.58803027557592
1101.590463386537,0.003379854546275429,-0.2519785989948959,-76.88233576205351
1105.545115227383,0.003760445999405023,-0.2540562533323547,-77.18104631405085
1109.513964060397,0.00388231475505617,-0.255087150982909,-77.4788754076726
1113.497060852036,0.003192951605374712,-0.2560924407322447,-77.77506056987121
1117.494456751721,0.003246886911244384,-0.2577863099892874,-78.07888075082212
1121.5062030925,0.00390195272313749,-0.2588966082989705,-78.37739892293833
1125.5323513917,0.002592006522287257,-0.2605010178929257,-78.6795291439816
1129.572953351596,0.003631465159160587,-0.2619098270917904,-78.98362035121228
1133.628060860068,0.003551056852096676,-0.2634566783370617,-79.29022547471946
1137.697725991275,0.00326737554475164,-0.2647195663826791,-79.59459238473715
1141.782001006316,0.003623816263833362,-0.2666897142939549,-79.90631870491052
1145.880938353905,0.003537529544680895,-0.2673499363919764,-80.21236431372748
1149.994590671046,0.003442101015274305,-0.2692992437483898,-80.52486322749837
1154.123010783706,0.003201868889298304,-0.2706301432897936,-80.83792141440445
1158.266251707494,0.003139686118342888,-0.2724759308358597,-81.15573434120279
1162.424366648342,0.003420280201207756,-0.2739658656433973,-81.46972161573105
1166.597409003191,0.003576933331116194,-0.2751873133653209,-81.78529369614304
1170.78543236067,0.003400114460890551,-0.2764603483254119,-82.10263970204954
1174.988490501793,0.003421265725817477,-0.2777883176899898,-82.42331104955932
1179.206637400642,0.003196220034584754,-0.2796290043798503,-82.74573314179304
1183.439927225062,0.003401302840257058,-0.2814983690468613,-83.06892202621751
1187.688414337362,0.003726738332993544,-0.2835188521913006,-83.39263591087087
1191.952153295006,0.003275309352434199,-0.2845251604407844,-83.71934181560671
1196.231198851315,0.003447035477912318,-0.286209751463271,-84.0484467281857
1200.525605956176,0.002940215628936855,-0.2884485687323806,-84.37603253158562
1204.835429756739,0.003769265347028762,-0.2899434254513663,-84.70692999570473
1209.160725598131,0.003452002029735269,-0.2916129424158416,-85.03665903850839
1213.501549024165,0.003196240379985827,-0.2936508725173225,-85.37489733777105
1217.857955778054,0.003218780636679201,-0.2960318174412366,-85.70803314034114
1222.230001803126,0.003854590772925836,-0.2970739349729916,-86.04768367042806
1226.617743243541,0.003408129727034846,-0.2988703045643358,-86.38771049100799
1231.021236445015,0.003034263153862787,-0.3003849129239105,-86.72976062808239
1235.440537955542,0.004138162405300722,-0.3024617811898738,-87.07081687450415
1239.875704526121,0.003067822142293249,-0.3041556191929107,-87.41787894263257
1244.326793111483,0.003806485053912671,-0.3061869449517821,-87.76109980174166
1248.793860870824,0.003781251461856339,-0.3084228089366353,-88.10791249472967
1253.276965168538,0.002941535777870818,-0.3102041317306657,-88.46200566167215
1257.776163574955,0.003356422882950631,-0.3126135189109217,-88.80740250331228
1262.291513867078,0.003389290105251602,-0.3140322248775304,-89.16382380380477
1266.823074029329,0.003447575353131313,-0.3167467877229766,-89.518815569973
1271.370902254288,0.003993994671574491,-0.319211365791096,-89.87895973956331
1275.935056943445,0.003334244607215279,-0.3203657231010864,-90.23733042798966
1280.515596707949,0.00293404905165827,-0.3227545711983615,-90.59795410896891
1285.112580369359,0.003219055763310326,-0.3249722855271937,-90.95838134200881
1289.726066960398,0.003452659798070596,-0.3278241298813895,-91.32030304494241
1294.356115725718,0.003576071057306573,-0.3298213318109732,-91.68646951891174
1299.002786122653,0.003396186527354618,-0.3316178074393428,-92.0529166824515
1303.666137821986,0.003210826138468246,-0.334117100501619,-92.42192746764738
1308.346230708716,0.003535599015545839,-0.3366050974639181,-92.79480611821849
1313.043124882826,0.003413447108861743,-0.3390452050779105,-93.16782292536888
1317.756880660053,0.003600982659056999,-0.3416673899534848,-93.54485717913801
1322.487558572667,0.00275784425696389,-0.3443271677557076,-93.92325805975267
1327.235219370244,0.003933764266215737,-0.3461777425905412,-94.30201145414573
1331.999924020446,0.003971501993928789,-0.3495462158060705,-94.6844152284968
1336.781733709811,0.003746352330816858,-0.3520843476331681,-95.06672028420917
1341.580709844528,0.003037761353992798,-0.354930657440131,-95.45288552590512
1346.396914051233,0.00338622593744512,-0.3582902360476876,-95.84074031282711
1351.2304081778,0.003484086030353377,-0.360734080608528,-96.23138929667707
1356.081254294132,0.00351805426451083,-0.3637055068199714,-96.62520848853036
1360.949514692958,0.00293606512263631,-0.3668930727954629,-97.01550467631085
1365.835251890639,0.003871747649067328,-0.3699423097929084,-97.41415240025268
1370.738528627962,0.003618636532818539,-0.3723245770779557,-97.80896614488343
1375.659407870954,0.00358044727524372,-0.3752346923050317,-98.21016998653749
1380.597952811682,0.003079164692686376,-0.3786794600003923,-98.61265939598411
1385.554226869075,0.003547091483895708,-0.3818824994590687,-99.01482623540605
1390.528293689728,0.00323964439296498,-0.3851229565791905,-99.42432083386443
1395.520217148725,0.003185039360003051,-0.3881191955314501,-99.83480211261272
1400.530061350461,0.003504482435444647,-0.3918787886050951,-100.2416593576689
1405.557890629458,0.003696988573579926,-0.3951715438309978,-100.6562094045812
1410.603769551198,0.00423792324689234,-0.3991113023852852,-101.0733371532187
1415.66776291295,0.003474610137172025,-0.4028436446811168,-101.4899770141772
1420.749935744601,0.003629885713719066,-0.4064534594084077,-101.9094839044517
1425.850353309492,0.004061952815520751,-0.4104028740435011,-102.3272146448917
1430.969081105256,0.003651459201118274,-0.4141820739029621,-102.7561280611068
1436.106184864659,0.004352053000860704,-0.4181259735552829,-103.1834107200031
1441.261730556444,0.003867376997970506,-0.4226062028371615,-103.6130922749393
1446.435784386179,0.003715421386296579,-0.4262165068250403,-104.0429346914792
1451.628412797106,0.003069184472490267,-0.4300457252904739,-104.4784306748342
1456.839682470994,0.003177376290556411,-0.434093120764139,-104.9160161613779
1462.069660328999,0.003545046594711966,-0.4391422535278837,-105.3555165049857
1467.318413532516,0.003167713169814245,-0.4435871646360454,-105.7930364301637
1472.586009484049,0.00402672997012672,-0.4477365827092987,-106.235727131358
1477.872515828072,0.004284451364045348,-0.4528680714181021,-106.6876743598317
1483.178000451901,0.003651748737421516,-0.4573470776533777,-107.1358848902051
1488.502531486562,0.004504751470468887,-0.4624188647161389,-107.586024351589
1493.846177307669,0.003834155322157958,-0.4670594628648355,-108.0385600747889
1499.209006536299,0.004081680331746124,-0.4727521392395008,-108.4980513538363
1504.591088039876,0.00395603438058645,-0.478012452539491,-108.9586985348629
1509.992490933057,0.004863551042169309,-0.4831232315029291,-109.4182684759661
1515.413284578613,0.004828107105946806,-0.4891391884726351,-109.8838162436309
1520.853538588326,0.004128944962559638,-0.4946546779459543,-110.3491900668009
1526.313322823879,0.003553901165758983,-0.4999250376011233,-110.8194294810155
1531.792707397758,0.00418764860468662,-0.5065816721151142,-111.2939224614841
1537.291762674145,0.003683865711843056,-0.5123338817730274,-111.7684300470485
1542.810559269829,0.003345942888169401,-0.5180066481292133,-112.2433654439978
1548.349168055108,0.003702566415861029,-0.524775235612319,-112.7274909420926
1553.9076601547,0.003787921416414087,-0.5308531201702381,-113.212127838845
1559.486106948659,0.003947046202898417,-0.5380008400420043,-113.6960727054684
1565.084580073288,0.004103370312546814,-0.5447680718103707,-114.1897849689873
1570.703151422061,0.004642743306949542,-0.5516627947941246,-114.6773948344142
1576.341893146546,0.003059117808210984,-0.5584151479064809,-115.1736141951822
1582.000877657331,0.00315729329702779,-0.565405741496428,-115.667790058472
1587.680177624955,0.004941587921799296,-0.573374929158756,-116.1696975249087
1593.37986598084,0.004334544759936406,-0.5806309595116163,-116.6784356824238
1599.100015918227,0.004420480722518778,-0.5889017768476503,-117.1816571177015
1604.840700893118,0.003169144795655526,-0.5971931208049533,-117.6938155189572
1610.601994625218,0.003494532405813223,-0.6060184085742714,-118.2053913987493
1616.383971098882,0.003726883170055944,-0.613217174933181,-118.7195126192676
1622.186704564064,0.003523456040580894,-0.6232573209549825,-119.2418310216821
1628.010269537274,0.003813649068271656,-0.6316628241125233,-119.7596485143777
1633.854740802527,0.0038247392392897,-0.641206082474056,-120.284095209191
1639.720193412315,0.004697758605382648,-0.6502714349889507,-120.8109078204821
1645.606702688562,0.003048355968198452,-0.6604339997267762,-121.345239239703
1651.514344223591,0.004233905440150795,-0.669259336303018,-121.8764797772158
1657.443193881101,0.003773141726832889,-0.6797939344159412,-122.4114477212707
1663.393327797138,0.003983002104891184,-0.6901424890431493,-122.9509219647761
1669.364822381068,0.004282018296641487,-0.7007959282526578,-123.4938806488572
1675.357754316568,0.004446261655810419,-0.7122861913118095,-124.0402133356558
1681.372200562603,0.003676873095440493,-0.7230342859612239,-124.5902610479471
1687.408238354414,0.003871009654021797,-0.7351870320235304,-125.1454174642874
1693.465945204518,0.003809831934271789,-0.7471304175637949,-125.6972094700707
1699.545398903694,0.003374233367411975,-0.7591707515450409,-126.2602737901183
1705.646677521985,0.004422063187231332,-0.7722523510505719,-126.8245544457454
1711.769859409705,0.003734781970252833,-0.7844770755625532,-127.3930839430669
1717.91502319844,0.004175333855133814,-0.7984249749806018,-127.9553244059111
1724.082247802057,0.004642754437044603,-0.8115916159665517,-128.5263641582714
1730.271612417722,0.004440954955846193,-0.8255056251454826,-129.1018154049521
1736.483196526915,0.003178373360352219,-0.8391413999987938,-129.6815390995666
1742.717079896447,0.003938752665682449,-0.8544920743796063,-130.2622336206135
1748.973342579494,0.003738154800139391,-0.8691052531812214,-130.8474419616817
1755.252064916612,0.003469432992799633,-0.8841372480790465,-131.4386059810301
1761.553327536778,0.00370093909214767,-0.9001502700800695,-132.0265442005439
1767.877211358425,0.002790670803396168,-0.9157072350181668,-132.6187007797034
1774.223797590475,0.004258104416133226,-0.9325937936766393,-133.220056780239
1780.593167733389,0.003338947760782648,-0.9501501305873066,-133.8246902562821
1786.985403580208,0.004211674472355593,-0.9671079761103024,-134.4274618141465
1793.400587217606,0.003423495056622321,-0.9856060530452155,-135.0354238650006
1799.838801026947,0.003280949218056961,-1.003125954943561,-135.6418190955914
1806.300127685335,0.003181186495388181,-1.02195217014468,-136.2580487574829
1812.784650166684,0.00344715790125297,-1.04159333204201,-136.8756952954211
1819.292451742778,0.003632769222093093,-1.060434309003879,-137.4985791759047
1825.823615984345,0.003646574325889908,-1.080629991449527,-138.1196482376895
1832.378226762123,0.003301089946786468,-1.101956473825374,-138.746507336172
1838.956368247945,0.004111588171750038,-1.122403702285182,-139.3740875802011
1845.558124915817,0.003814235610020859,-1.144653365514249,-140.0087295965944
1852.183581542999,0.004212512118583233,-1.166826837414306,-140.6421251010721
1858.8328232111,0.003217565471194171,-1.189989185311082,-141.2857076421608
1865.505935307165,0.003794828885481075,-1.213531264783229,-141.9305831009255
1872.203003524776,0.004104892297935715,-1.238192845871926,-142.5755554960533
1878.924113865151,0.00433007192082286,-1.261632787925818,-143.2222597684329
1885.669352638244,0.002810867043065281,-1.286614231434047,-143.8762852575386
1892.438806463862,0.004017391195505949,-1.313297549140658,-144.5258087451649
1899.232562272769,0.00352216885942323,-1.339256552327335,-145.1871464051221
1906.050707307809,0.003713326277666495,-1.366071028883733,-145.844741169838
1912.893329125018,0.004229390600890896,-1.392817185296651,-146.5109397679596
1919.76051559476,0.003621640772950957,-1.422500085220597,-147.1768447934804
1926.652354902845,0.004430070461218811,-1.450155543522165,-147.8414319744314
1933.568935551666,0.004060316133211457,-1.480174307467807,-148.5180192526767
1940.510346361336,0.004253181361172613,-1.511101873616906,-149.1934548838617
